INDEX	form	lemma	xpos	syllables	stress	phon	Check?
138217	grămăjuie	=	Ncfsrn	gră.mă.ju.ie	grămăj'uie	g r @ m @ Z u j e	k
140098	gutui	gutuie	Ncfp-n	gu.tui	gut'ui	g u t u j	k
140101	gutuie	=	Ncfsrn	gu.tu.ie	gut'uie	g u t u j e	k
146819	imediatețe	=	Ncfs-n	i.me.di.a.te.țe	imediat'ețe	i m e d i a t e ts e	y
146821	imediateți	imediatețe	Ncfp-n	i.me.di.a.teți	imediat'eți	i m e d i a t e ts i_0	y
150573	indrișaim	=	Ncms-n	in.dri.șa.im	indrișa'im	i n d r i S a i m	y
150574	indrișaimi	indrișaim	Ncmp-n	in.dri.șa.imi	indrișa'imi	i n d r i S a i m i_0	y
153142	insinuare	=	Ncfsrn	in.si.nu.a.re	insinu'are	i n s i n u a r e	y
153185	insinuări	insinuare	Ncfp-n	in.si.nu.ări	insinu'ări	i n s i n u @ r i_0	y
154775	interacțiune	=	Ncfsrn	in.te.rac.ți.u.ne	interacți'une	i n t e r a k ts i u n e	y
154777	interacțiuni	interacțiune	Ncfp-n	in.te.rac.ți.uni	interacți'uni	i n t e r a k ts i u n i_0	y
156605	intradermoreacție	=	Ncfsrn	in.tra.der.mo.re.ac.ți.e	intradermore'acție	i n t r a d e r m o r e a k ts i e	y
156607	intradermoreacții	intradermoreacție	Ncfp-n	in.tra.der.mo.re.ac.ții	intradermore'acții	i n t r a d e r m o r e a k ts i j	y
160500	jeans	=	Ncms-n	jeans	je'ans	gZ i n s	y
160502	jeanși	jeans	Ncmp-n	jeanși	je'anși	gZ i n S j	y
162644	lămâi	lămâie	Ncfp-n	lă.mâi	lăm'âi	l @ m 1 j	k
162647	lămâie	=	Ncfsrn	lă.mâ.ie	lăm'âie	l @ m 1 j e	k
163355	laițe	laiță	Ncfp-n	lai.țe	l'aițe	l a j ts e	y
163360	laiță	=	Ncfsrn	lai.ță	l'aiță	l a j ts @	y
166359	linguist	=	Ncms-n	lin.guist	lingu'ist	l i n g u j s t	y
166371	linguiști	linguist	Ncmp-n	lin.guiști	lingu'iști	l i n g w i S t i_0	y
169980	mătăhui	mătăhuie	Ncfp-n	mă.tă.hui	mătăh'ui	m @ t @ h u j	k
169983	mătăhuie	=	Ncfsrn	mă.tă.hu.ie	mătăh'uie	m @ t @ h u j e	k
173309	material	=	Ncms-n	ma.te.ri.al	materi'al	m a t e r i a l	y
173381	materialuri	material	Ncfp-n	ma.te.ri.a.luri	materi'aluri	m a t e r i a l u r i_0	y
175278	mențiune	=	Ncfsrn	men.ți.u.ne	menți'une	m e n ts i u n e	y
175280	mențiuni	mențiune	Ncfp-n	men.ți.uni	menți'uni	m e n ts i u n i_0	y
178094	mineriade	mineriadă	Ncfp-n	mi.ne.ri.a.de	mineri'ade	m i n e r i a d e	y
178099	mineriadă	=	Ncfsrn	mi.ne.ri.a.dă	mineri'adă	m i n e r i a d @	y
178189	minicontainer	=	Ncms-n	mi.ni.con.tai.ner	minicont'ainer	m i n i k o n t a j n e r	y
178190	minicontainere	minicontainer	Ncfp-n	mi.ni.con.tai.ne.re	minicont'ainere	m i n i k o n t a j n e r e	y
184221	musaip	=	Ncms-n	mu.sa.ip	musa'ip	m u s a i p	y
