	INDEX	form	lemma	xpos	syllables	stress	phon
36774	36774	artefact	=	Ncm--n	ar.te.fact	artef'act	a r t e f a k t
36775	36775	artefact	=	Ncmsvn	ar.te.fact	artef'act	a r t e f a k t
42706	42706	avă	=	Ncfsrn	a.vă	'avă	a v @
42707	42707	avă	=	Ncms-n	a.vă	'avă	a v @
44551	44551	bărbunc	=	Ncfp-n	băr.bunc	bărb'unc	b @ r b u n k
44552	44552	bărbunc	=	Ncm--n	băr.bunc	bărb'unc	b @ r b u n k
44553	44553	bărbunc	=	Ncmsvn	băr.bunc	bărb'unc	b @ r b u n k
45057	45057	badminton	=	Ncfp-n	bad.min.ton	b'adminton	b a d m i n t o n
45058	45058	badminton	=	Ncm--n	bad.min.ton	b'adminton	b a d m i n t o n
45059	45059	badminton	=	Ncmsvn	bad.min.ton	b'adminton	b a d m i n t o n
46615	46615	bazedov	=	Ncfp-n	ba.ze.dov	b'azedov	b a z e d o v
46616	46616	bazedov	=	Ncm--n	ba.ze.dov	b'azedov	b a z e d o v
46617	46617	bazedov	=	Ncmsvn	ba.ze.dov	b'azedov	b a z e d o v
46681	46681	beșteleală	=	Ncfsrn	beș.te.lea.lă	beștele'ală	b e S t e l e_X a l @
46682	46682	beșteleală	=	Ncfsry	beș.te.lea.lă	beștele'ală	b e S t e l e_X a l @
46977	46977	bemberg	=	Ncfp-n	bem.berg	b'emberg	b e m b e r g
46978	46978	bemberg	=	Ncm--n	bem.berg	b'emberg	b e m b e r g
46979	46979	bemberg	=	Ncmsvn	bem.berg	b'emberg	b e m b e r g
47269	47269	bermude	=	Ncfp-n	ber.mu.de	berm'ude	b e r m u d e
47270	47270	bermude	=	Ncfson	ber.mu.de	berm'ude	b e r m u d e
49143	49143	bleav	=	Ncfp-n	bleav	bleav	b l e_X a v
49144	49144	bleav	=	Ncm--n	bleav	bleav	b l e_X a v
49145	49145	bleav	=	Ncmsvn	bleav	bleav	b l e_X a v
49323	49323	blimp	=	Ncfp-n	blimp	blimp	b l i m p
49324	49324	blimp	=	Ncm--n	blimp	blimp	b l i m p
49325	49325	blimp	=	Ncmsvn	blimp	blimp	b l i m p
49381	49381	blitz	=	Ncfp-n	blitz	bl'itz	b l j t z
49382	49382	blitz	=	Ncm--n	blitz	bl'itz	b l j t z
49383	49383	blitz	=	Ncmsvn	blitz	bl'itz	b l j t z
50455	50455	bombăneală	=	Ncfsrn	bom.bă.nea.lă	bombăne'ală	b o m b @ n e_X a l @
50456	50456	bombăneală	=	Ncfsry	bom.bă.nea.lă	bombăne'ală	b o m b @ n e_X a l @
50893	50893	bort	=	Ncfp-n	bort	bort	b o r t
50894	50894	bort	=	Ncm--n	bort	bort	b o r t
50895	50895	bort	=	Ncmsvn	bort	bort	b o r t
50973	50973	boston	=	Ncm--n	bos.ton	bost'on	b o s t o n
50974	50974	boston	=	Ncmsvn	bos.ton	bost'on	b o s t o n
51167	51167	bourree	=	Ncms-n	bo.u.rre.e	bourr'ee	b o u r r e e
51168	51168	bourree	=	Ncmsvy	bo.u.rre.e	bourr'ee	b o u r r e e
51443	51443	branchipus	=	Ncfp-n	bran.chi.pus	br'anchipus	b r a n k_j i p u s
51444	51444	branchipus	=	Ncm--n	bran.chi.pus	br'anchipus	b r a n k_j i p u s
51445	51445	branchipus	=	Ncmsvn	bran.chi.pus	br'anchipus	b r a n k_j i p u s
52098	52098	brum	=	Ncfp-n	brum	brum	b r u m
52099	52099	brum	=	Ncm--n	brum	brum	b r u m
52100	52100	brum	=	Ncmsvn	brum	brum	b r u m
52897	52897	buftea	=	Ncms-n	buf.tea	b'uftea	b u f t e_X a
52898	52898	buftea	=	Ncmsry	buf.tea	b'uftea	b u f t e_X a
53502	53502	buna	=	Ncfsrn	bu.na	b'una	b u n a
53503	53503	buna	=	Ncfsry	bu.na	b'una	b u n a
54358	54358	bâzdâc	=	Ncfp-n	bâz.dâc	bâzd'âc	b 1 z d 1 k
54359	54359	bâzdâc	=	Ncm--n	bâz.dâc	bâzd'âc	b 1 z d 1 k
54360	54360	bâzdâc	=	Ncmsvn	bâz.dâc	bâzd'âc	b 1 z d 1 k
55697	55697	cărbune	=	Ncms-n	căr.bu.ne	cărb'une	k @ r b u n e
55698	55698	cărbune	=	Ncmsvy	căr.bu.ne	cărb'une	k @ r b u n e
56745	56745	calapăr	=	Ncfp-n	ca.la.păr	calap'ăr	k a l a p @ r
56746	56746	calapăr	=	Ncm--n	ca.la.păr	calap'ăr	k a l a p @ r
56747	56747	calapăr	=	Ncmsvn	ca.la.păr	calap'ăr	k a l a p @ r
57556	57556	camgarn	=	Ncfp-n	cam.garn	c'amgarn	k a m g a r n
57557	57557	camgarn	=	Ncm--n	cam.garn	c'amgarn	k a m g a r n
57558	57558	camgarn	=	Ncmsvn	cam.garn	c'amgarn	k a m g a r n
57590	57590	camorra	=	Ncfsrn	ca.mor.ra	cam'orra	k a m o r r a
57591	57591	camorra	=	Ncfsry	ca.mor.ra	cam'orra	k a m o r r a
57674	57674	canabis	=	Ncfp-n	ca.na.bis	can'abis	k a n a b i s
57675	57675	canabis	=	Ncm--n	ca.na.bis	can'abis	k a n a b i s
57676	57676	canabis	=	Ncmsvn	ca.na.bis	can'abis	k a n a b i s
57721	57721	canale	=	Ncfp-n	ca.na.le	can'ale	k a n a l e
57722	57722	canale	=	Ncfpry	ca.na.le	can'ale	k a n a l e
57723	57723	canale	=	Ncfson	ca.na.le	can'ale	k a n a l e
58153	58153	canto	=	Ncfp-n	can.to	c'anto	k a n t o
58154	58154	canto	=	Ncms-n	can.to	c'anto	k a n t o
58390	58390	capitalband	=	Ncfp-n	ca.pi.tal.band	capit'alband	k a p i t a l b a n d
58391	58391	capitalband	=	Ncm--n	ca.pi.tal.band	capit'alband	k a p i t a l b a n d
58392	58392	capitalband	=	Ncmsvn	ca.pi.tal.band	capit'alband	k a p i t a l b a n d
59087	59087	carborundum	=	Ncfp-n	car.bo.run.dum	carbor'undum	k a r b o r u n d u m
59088	59088	carborundum	=	Ncm--n	car.bo.run.dum	carbor'undum	k a r b o r u n d u m
59089	59089	carborundum	=	Ncmsvn	car.bo.run.dum	carbor'undum	k a r b o r u n d u m
59121	59121	cardamom	=	Ncfp-n	car.da.mom	cardam'om	k a r d a m o m
59122	59122	cardamom	=	Ncm--n	car.da.mom	cardam'om	k a r d a m o m
59123	59123	cardamom	=	Ncmsvn	car.da.mom	cardam'om	k a r d a m o m
60392	60392	catgut	=	Ncfp-n	cat.gut	c'atgut	k a t g u t
60393	60393	catgut	=	Ncm--n	cat.gut	c'atgut	k a t g u t
60394	60394	catgut	=	Ncmsvn	cat.gut	c'atgut	k a t g u t
62502	62502	cerithium	=	Ncfp-n	ce.ri.thi.um	cer'ithium	tS e r i t i u m
62503	62503	cerithium	=	Ncm--n	ce.ri.thi.um	cer'ithium	tS e r i t i u m
62504	62504	cerithium	=	Ncmsvn	ce.ri.thi.um	cer'ithium	tS e r i t i u m
