	Unnamed: 0	form	lemma	xpos	syll	stress	phon	syll_count	comment	stress_syl	root
94	1040	șfăițuire	=	Ncfsrn	șfăi.țu.i.re	șfăițu'ire	S f @ j ts u i r e	4		2	S f @ j ts u i r
95	1049	șișcă	=	Ncfsrn	șiș.că	ș'ișcă	S i S k @	2		0	S i S k
96	1061	șiță	=	Ncfsrn	și.ță	ș'iță	S i ts @	2		0	S i ts
97	1063	șicana	=	Vmnp	și.ca.na	șican'a	S i k a n a	3		2	S i k a n
98	1098	șicană	=	Ncfsrn	și.ca.nă	șic'ană	S i k a n @	3		1	S i k a n
99	1101	șif	=	Ncms-n	șif	șif	S i f	1		0	S i f
100	1105	șifona	=	Vmnp	și.fo.na	șifon'a	S i f o n a	3		2	S i f o n
101	1106	șifonabil	=	Afpms-n	și.fo.na.bil	șifon'abil	S i f o n a b i l	4		2	S i f o n a b i l
102	1133	șifonat	=	Afpms-n	și.fo.nat	șifon'at	S i f o n a t	3		2	S i f o n a t
103	1163	șifonier	=	Ncms-n	și.fo.ni.er	șifoni'er	S i f o n i e r	4		3	S i f o n i e r
104	1177	șiit	=	Afpms-n	și.it	și'it	S i i t	2		1	S i i t
105	1188	șiită	=	Ncfsrn	și.i.tă	și'ită	S i i t @	3		1	S i i t
106	1192	șild	=	Ncms-n	șild	șild	S i l d	1		0	S i l d
107	1199	șindrilar	=	Ncms-n	șin.dri.lar	șindril'ar	S i n d r i l a r	3		2	S i n d r i l a r
108	1211	șintoist	=	Afpms-n	șin.to.ist	șinto'ist	S i n t o i s t	3		2	S i n t o i s t
109	1224	șină	=	Ncfsrn	și.nă	ș'ină	S i n @	2		0	S i n
110	1225	șip	=	Ncms-n	șip	șip	S i p	1		0	S i p
111	1238	șipculiță	=	Ncfsrn	șip.cu.li.ță	șipcul'iță	S i p k u l i ts @	4		2	S i p k u l i ts
112	1239	șipcă	=	Ncfsrn	șip.că	ș'ipcă	S i p k @	2		0	S i p k
113	1248	șiră	=	Ncfsrn	și.ră	ș'iră	S i r @	2		0	S i r
114	1249	șir	=	Ncms-n	șir	șir	S i r	1		0	S i r
115	1253	șireag	=	Ncms-n	și.reag	șire'ag	S i r e_X a g	2		1	S i r e_X a g
116	1266	șireglă	=	Ncfsrn	și.re.glă	șir'eglă	S i r e g l @	3		1	S i r e g l
117	1270	șiret	=	Ncms-n	și.ret	șir'et	S i r e t	2		1	S i r e t
118	1271	șiretlic	=	Ncms-n	și.re.tlic	șiretl'ic	S i r e t l i k	3		2	S i r e t l i k
119	1285	șiroi	=	Vmnp	și.ro.i	șiro'i	S i r o i	3		2	S i r o
